team,Season,Date,ContestID,Team,Conference,Opponent Team,Opponent Conference,Location,Number,Player,P,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,29,Bella Ehrlich,MB,3,5,0,8,0.625,0,0,0,0,0,0,1,3,2,7.5,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,14,Anna Herrington,MB,3,8,0,13,0.615,0,0,0,1,0,0,0,5,0,10.5,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,7,Hanna Hoffman,S,3,0,0,0,0,11,1,1,3,0,0,0,0,1,1,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,24,Sequoia Layne,OH,3,3,2,8,0.125,0,1,0,1,8,0,0,0,1,4,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,15,Lucy Mott,S,3,0,0,0,0,20,0,1,4,0,0,0,0,0,0,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,33,Isabelle Poehlein,OPP,3,11,1,19,0.526,0,0,0,3,0,0,0,1,0,11.5,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,4,Danica Rach,OH,3,0,1,3,-0.333,1,0,2,3,15,0,0,0,0,0,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,17,Cornelia Roach,MB,3,5,0,9,0.556,0,2,0,2,1,0,0,3,0,8.5,1
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,13,Audrey Ross,OH,3,12,3,29,0.31,1,0,2,1,11,2,0,0,0,12,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,16,Brooklyn Yelland,L/DS,3,0,0,0,0,8,3,2,11,13,1,0,0,0,3,0
Boston College,2025-2026,2025-08-29,6421680,Boston College,ACC,NJIT,America East,Home,3,Ali Natt,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,14,Anna Herrington,MB,3,5,3,13,0.154,1,0,0,1,2,0,0,1,0,5.5,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,24,Sequoia Layne,OH,3,5,3,18,0.111,0,0,0,4,10,1,1,2,1,7,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,19,Sofija Marjanovic,OH,3,9,1,15,0.533,1,0,2,2,12,1,0,3,0,10.5,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,5,Grace Milliken,MB,3,2,2,8,0,1,0,0,0,0,0,0,5,0,4.5,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,10,Aubrey Moore,S,3,1,0,1,1,13,3,1,6,0,0,0,0,0,4,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,15,Lucy Mott,S,3,0,0,0,0,8,2,2,3,0,0,0,0,0,2,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,3,Ali Natt,L,3,0,0,0,0,0,1,2,3,7,0,0,0,0,1,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,17,Cornelia Roach,MB,3,2,0,7,0.286,1,2,0,2,0,0,1,2,0,6,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,16,Brooklyn Yelland,L/DS,3,0,0,0,0,3,0,3,8,13,2,0,0,0,0,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,12,Sam Hoppes,OPP,2,4,1,10,0.3,0,0,0,0,0,0,0,0,0,4,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,22,Savannah Curtis,L,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,33,Isabelle Poehlein,OPP,1,2,0,3,0.667,0,0,0,0,0,0,0,1,0,2.5,0
Boston College,2025-2026,2025-08-29,6425875,Boston College,ACC,Stonehill,NEC,Home,21,Naomi Watson,MB,1,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,29,Bella Ehrlich,MB,3,4,2,10,0.2,0,0,0,0,0,0,0,2,0,5,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,14,Anna Herrington,MB,3,2,1,10,0.1,0,0,0,3,0,0,0,0,0,2,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,19,Sofija Marjanovic,OH,3,8,5,26,0.115,0,1,1,5,14,1,1,2,0,11,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,15,Lucy Mott,S,3,0,0,0,0,12,1,2,5,0,0,0,0,0,1,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,33,Isabelle Poehlein,OPP,3,5,1,14,0.286,0,0,0,2,0,0,1,3,0,7.5,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,17,Cornelia Roach,MB,3,7,0,10,0.7,0,0,1,0,1,0,2,5,1,11.5,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,13,Audrey Ross,OH,3,13,4,27,0.333,1,1,1,6,21,0,0,2,0,15,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,16,Brooklyn Yelland,L/DS,3,0,0,0,0,9,0,2,11,5,1,0,0,0,0,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,7,Hanna Hoffman,S,2,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,10,Aubrey Moore,S,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,4,Danica Rach,OH,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Boston College,2025-2026,2025-08-30,6386836,Boston College,ACC,Iona,MAAC,Away,68,Milly Wolf,S,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,29,Bella Ehrlich,MB,3,3,1,7,0.286,0,0,0,0,2,0,1,4,0,6,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,14,Anna Herrington,MB,3,9,2,12,0.583,0,0,0,3,0,0,0,1,0,9.5,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,10,Aubrey Moore,S,3,0,0,1,0,15,1,0,4,1,0,0,0,0,1,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,15,Lucy Mott,S,3,0,0,1,0,14,0,1,5,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,3,Ali Natt,L,3,0,0,0,0,0,2,1,3,1,0,0,0,0,2,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,33,Isabelle Poehlein,OPP,3,11,1,19,0.526,0,0,0,3,0,0,0,2,0,12,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,4,Danica Rach,OH,3,1,0,5,0.2,0,2,0,6,12,0,0,1,0,3.5,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,17,Cornelia Roach,MB,3,6,0,14,0.429,0,2,2,4,0,0,2,1,0,10.5,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,16,Brooklyn Yelland,L/DS,3,0,0,2,0,3,0,0,12,6,0,0,0,0,0,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,24,Sequoia Layne,OH,2,4,0,10,0.4,0,0,0,1,4,0,0,0,1,4,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,19,Sofija Marjanovic,OH,2,2,2,11,0,0,1,0,2,13,1,0,0,0,3,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,13,Audrey Ross,OH,2,2,6,15,-0.267,0,0,0,4,11,1,1,1,0,3.5,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,22,Savannah Curtis,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,7,Hanna Hoffman,S,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,12,Sam Hoppes,OPP,1,0,1,4,-0.25,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-06,6394173,Boston College,ACC,Little Rock,OVC,Home,21,Naomi Watson,MB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,29,Bella Ehrlich,MB,3,8,0,10,0.8,0,0,0,3,1,0,0,3,0,9.5,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,14,Anna Herrington,MB,3,7,4,15,0.2,0,0,0,0,5,0,0,2,0,8,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,24,Sequoia Layne,OH,3,7,6,21,0.048,0,0,0,1,10,1,2,2,0,10,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,10,Aubrey Moore,S,3,0,1,1,-1,17,1,2,9,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,15,Lucy Mott,S,3,0,0,1,0,25,1,2,5,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,3,Ali Natt,L,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,4,Danica Rach,OH,3,1,0,1,1,0,0,1,6,13,0,0,0,0,1,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,17,Cornelia Roach,MB,3,4,2,8,0.25,0,1,3,2,1,0,1,2,0,7,1
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,13,Audrey Ross,OH,3,10,2,28,0.286,0,0,1,8,11,1,0,0,0,10,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,16,Brooklyn Yelland,L/DS,3,0,0,2,0,6,1,1,14,15,2,0,0,0,1,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,33,Isabelle Poehlein,OPP,2,9,0,13,0.692,0,0,0,0,0,0,0,1,0,9.5,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,22,Savannah Curtis,L,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-07,6425889,Boston College,ACC,Central Ark.,ASUN,Away,12,Sam Hoppes,OPP,1,4,0,6,0.667,0,0,0,0,0,0,0,0,0,4,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,29,Bella Ehrlich,MB,5,6,0,16,0.375,0,1,1,1,0,0,0,9,1,11.5,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,14,Anna Herrington,MB,5,8,3,17,0.294,0,0,0,0,1,0,1,6,0,12,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,12,Sam Hoppes,OPP,5,5,5,21,0,0,0,0,5,0,0,0,6,0,8,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,24,Sequoia Layne,OH,5,7,5,22,0.091,0,0,0,3,5,0,0,1,2,7.5,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,10,Aubrey Moore,S,5,0,1,1,-1,17,2,0,12,0,0,0,0,0,2,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,15,Lucy Mott,S,5,0,0,0,0,16,2,1,7,0,0,0,0,0,2,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,4,Danica Rach,OH,5,1,2,5,-0.2,1,0,2,9,15,0,0,0,0,1,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,17,Cornelia Roach,MB,5,12,2,22,0.455,1,0,0,1,0,0,0,6,0,15,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,13,Audrey Ross,OH,5,12,8,45,0.089,1,0,0,13,40,1,0,1,0,12.5,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,16,Brooklyn Yelland,L/DS,5,0,0,1,0,9,0,1,16,18,0,0,0,0,0,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,22,Savannah Curtis,L,4,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,19,Sofija Marjanovic,OH,2,1,3,9,-0.222,1,0,1,3,6,0,0,1,0,1.5,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,7,Hanna Hoffman,S,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-09,6412318,Boston College,ACC,Arkansas,SEC,Away,3,Ali Natt,L,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,29,Bella Ehrlich,MB,3,3,0,5,0.6,0,1,0,0,0,0,0,6,0,7,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,14,Anna Herrington,MB,3,4,1,12,0.25,2,0,0,1,0,0,0,3,0,5.5,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,12,Sam Hoppes,OPP,3,4,2,8,0.25,0,0,0,0,0,0,0,5,0,6.5,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,24,Sequoia Layne,OH,3,6,1,13,0.385,0,0,0,1,7,1,0,1,0,6.5,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,10,Aubrey Moore,S,3,0,0,0,0,9,1,1,8,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,15,Lucy Mott,S,3,0,0,0,0,15,2,2,4,0,0,0,0,0,2,1
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,13,Audrey Ross,OH,3,16,4,38,0.316,1,1,1,8,24,0,0,0,0,17,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,16,Brooklyn Yelland,L/DS,3,0,0,1,0,4,2,2,14,4,0,0,0,0,2,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,8,Grace Milliken,MB,2,2,0,3,0.667,1,0,0,0,0,0,0,0,0,2,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,3,Ali Natt,L,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,4,Danica Rach,OH,2,0,0,2,0,0,0,1,4,10,1,0,0,0,0,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,17,Cornelia Roach,MB,2,1,1,6,0,0,0,0,0,0,0,0,3,0,2.5,0
Boston College,2025-2026,2025-09-12,6410320,Boston College,ACC,Sacramento St.,Big Sky,Home,7,Hanna Hoffman,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,29,Bella Ehrlich,MB,4,4,0,7,0.571,0,1,1,4,0,0,0,2,0,6,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,14,Anna Herrington,MB,4,12,0,18,0.667,0,0,0,2,0,0,1,0,0,13,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,12,Sam Hoppes,OPP,4,4,3,12,0.083,0,0,0,2,0,0,1,2,0,6,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,10,Aubrey Moore,S,4,0,0,2,0,24,2,1,8,0,0,0,0,0,2,1
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,4,Danica Rach,OH,4,0,0,5,0,0,2,0,5,16,0,0,0,0,2,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,17,Cornelia Roach,MB,4,8,0,15,0.533,1,0,0,2,0,0,0,4,0,10,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,13,Audrey Ross,OH,4,15,6,33,0.273,0,1,2,7,27,3,0,3,0,17.5,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,16,Brooklyn Yelland,L/DS,4,0,0,3,0,6,0,2,22,7,1,0,0,0,0,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,24,Sequoia Layne,OH,3,7,4,20,0.15,0,0,0,0,2,0,0,1,0,7.5,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,7,Hanna Hoffman,S,2,0,0,3,0,5,1,0,6,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,19,Sofija Marjanovic,OH,2,3,3,13,0,1,0,0,3,10,1,0,0,0,3,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,15,Lucy Mott,S,2,0,0,5,0,9,1,0,5,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,22,Savannah Curtis,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,3,Ali Natt,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-13,6423640,Boston College,ACC,Dartmouth,Ivy League,Home,21,Naomi Watson,MB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,29,Bella Ehrlich,MB,5,4,0,7,0.571,0,1,3,2,0,0,0,6,0,8,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,14,Anna Herrington,MB,5,17,5,37,0.324,1,0,0,2,1,0,0,4,0,19,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,12,Sam Hoppes,OPP,5,13,0,20,0.65,1,0,0,3,0,0,0,4,0,15,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,24,Sequoia Layne,OH,5,6,10,29,-0.138,0,0,0,0,7,2,0,2,0,7,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,10,Aubrey Moore,S,5,0,0,1,0,25,0,1,15,1,1,0,0,0,0,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,15,Lucy Mott,S,5,0,0,0,0,15,0,2,6,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,4,Danica Rach,OH,5,2,0,7,0.286,1,0,0,7,32,3,0,0,0,2,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,17,Cornelia Roach,MB,5,6,5,15,0.067,0,0,0,2,1,0,0,5,0,8.5,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,13,Audrey Ross,OH,5,11,6,40,0.125,1,2,0,6,32,2,0,1,0,13.5,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,16,Brooklyn Yelland,L/DS,5,0,0,1,0,8,2,2,16,13,1,0,0,0,2,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,22,Savannah Curtis,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-14,6425895,Boston College,ACC,UAlbany,America East,Home,3,Ali Natt,L,2,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,29,Bella Ehrlich,MB,4,6,3,17,0.176,0,0,2,2,2,0,1,6,0,10,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,14,Anna Herrington,MB,4,6,3,17,0.176,0,0,0,5,0,0,0,4,0,8,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,12,Sam Hoppes,OPP,4,9,4,16,0.313,1,0,0,1,1,0,0,2,0,10,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,19,Sofija Marjanovic,OH,4,2,3,5,-0.2,0,3,1,1,6,0,0,0,0,5,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,10,Aubrey Moore,S,4,0,0,0,0,20,0,0,8,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,15,Lucy Mott,S,4,0,0,0,0,21,1,1,2,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,4,Danica Rach,OH,4,1,0,2,0.5,0,0,1,4,22,1,0,0,0,1,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,17,Cornelia Roach,MB,4,6,1,13,0.385,1,0,0,1,0,0,0,4,0,8,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,13,Audrey Ross,OH,4,20,4,45,0.356,1,0,0,2,23,2,0,4,0,22,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,16,Brooklyn Yelland,L/DS,4,1,0,1,1,4,3,2,14,7,0,0,0,0,4,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,22,Savannah Curtis,L,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,24,Sequoia Layne,OH,1,1,2,4,-0.25,0,0,0,0,3,1,0,0,0,1,0
Boston College,2025-2026,2025-09-18,6425900,Boston College,ACC,Harvard,Ivy League,Home,3,Ali Natt,L,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,29,Bella Ehrlich,MB,4,4,2,9,0.222,0,0,2,0,4,0,0,2,0,5,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,7,Hanna Hoffman,S,4,0,0,9,0,21,1,0,4,0,0,0,0,0,1,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,12,Sam Hoppes,OPP,4,11,2,23,0.391,0,0,0,2,1,0,0,5,0,13.5,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,24,Sequoia Layne,OH,4,16,4,34,0.353,0,0,0,2,7,2,0,2,0,17,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,19,Sofija Marjanovic,OH,4,4,4,25,0,0,1,1,12,15,2,1,2,0,7,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,8,Grace Milliken,MB,4,8,2,13,0.462,0,0,1,2,3,0,0,7,0,11.5,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,4,Danica Rach,OH,4,2,0,7,0.286,0,2,2,11,11,1,0,0,0,4,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,3,Ali Natt,L,3,1,1,2,0,0,3,2,6,16,0,0,0,0,4,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,22,Savannah Curtis,L,2,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,14,Anna Herrington,MB,2,3,0,5,0.6,0,0,0,0,0,0,0,0,0,3,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,15,Lucy Mott,S,2,0,0,1,0,12,2,1,1,0,0,0,0,0,2,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,68,Milly Wolf,S,2,0,1,4,-0.25,9,0,0,1,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,16,Brooklyn Yelland,L/DS,2,0,0,1,0,0,1,2,9,5,0,0,0,0,1,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,13,Audrey Ross,OH,1,2,1,7,0.143,0,0,0,3,5,0,0,0,0,2,0
Boston College,2025-2026,2025-09-19,6425906,Boston College,ACC,Stonehill,NEC,Home,21,Naomi Watson,MB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston College,2025-2026,2025-09-20,6425926,Boston College,ACC,Bryant,America East,Home,29,Bella Ehrlich,MB,5,8,5,18,0.167,0,0,0,2,2,0,0,4,0,10,0
Boston College,2025-2026,2025-09-20,6425926,Boston College,ACC,Bryant,America East,Home,14,Anna Herrington,MB,5,11,3,30,0.267,0,0,0,1,0,0,0,2,0,12,0
Boston College,2025-2026,2025-09-20,6425926,Boston College,ACC,Bryant,America East,Home,7,Hanna Hoffman,S,5,0,0,0,0,21,4,1,11,0,0,0,0,0,4,0
Boston College,2025-2026,2025-09-20,6425926,Boston College,ACC,Bryant,America East,Home,12,Sam Hoppes,OPP,5,12,2,28,0.357,0,0,0,2,0,0,0,3,0,13.5,0
