"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",14,"Amaka Chukwujekwu","MB",3,7,5,16,0.125,1,0,0,1,0,0,1,0,7.5,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",12,"Izzy Clavenna","OH",3,9,2,16,0.438,0,0,0,1,0,0,1,0,9.5,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",18,"Bridget Green","L",3,0,0,0,0,1,1,1,11,0,0,0,0,1,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",2,"Silvia Ianeselli","OH",3,5,4,20,0.05,0,0,0,2,0,0,1,0,5.5,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",9,"Katrina Jensen","OH",3,9,3,21,0.286,0,0,0,4,0,1,2,0,11,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",5,"Sophia Lambros","S",3,0,0,1,0,15,1,1,7,0,0,0,0,1,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",3,"Gabby McCaa","MB",3,2,0,4,0.5,0,0,2,3,0,1,3,1,4.5,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",4,"Anna Murphy","L",3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",8,"Clare Naughton","OH",3,7,4,26,0.115,2,0,2,10,0,0,0,0,7,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",1,"Grace Penn","S",3,0,0,1,0,16,0,0,2,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-27,"Boston College","ACC","Sacred Heart","NEC","Home",20,"Jewel Strawberry","OH",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",14,"Amaka Chukwujekwu","MB",4,10,0,16,0.625,0,0,0,3,0,3,8,0,17,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",11,"Alayna Crabtree","OH",2,4,2,13,0.154,0,0,1,1,0,0,2,0,5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",7,"Mackenzie Fuhrmann","OH",1,1,2,8,-0.125,0,0,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",18,"Bridget Green","L",4,0,0,0,0,3,1,2,12,0,0,0,0,1,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",23,"Julia Haggerty","MB",4,9,3,18,0.333,0,0,0,0,0,1,4,0,12,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",2,"Silvia Ianeselli","OH",2,2,1,5,0.2,0,0,0,0,0,0,1,0,2.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",9,"Katrina Jensen","OH",3,12,3,22,0.409,0,0,0,2,0,0,1,0,12.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",5,"Sophia Lambros","S",4,0,0,2,0,26,0,1,3,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",10,"Peyton Minyard","MB",4,3,0,5,0.6,0,1,1,2,0,2,4,0,8,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",4,"Anna Murphy","L",4,0,0,2,0,1,0,0,19,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",8,"Clare Naughton","OH",3,8,3,19,0.263,0,0,3,6,0,0,3,0,9.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",19,"Jane Petrie","S",4,0,0,0,0,20,1,0,8,0,0,0,0,1,2
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Hartford","America East","Home",21,"Nikki Steinheiser","OH",3,2,4,17,-0.118,0,0,0,7,0,0,1,0,2.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",14,"Amaka Chukwujekwu","MB",5,10,2,21,0.381,0,0,0,2,0,0,6,0,13,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",12,"Izzy Clavenna","OH",5,11,3,26,0.308,0,0,0,0,0,0,3,0,12.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",18,"Bridget Green","L",4,0,1,1,-1,1,0,0,12,1,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",2,"Silvia Ianeselli","OH",5,10,2,17,0.471,0,0,0,5,0,0,0,0,10,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",9,"Katrina Jensen","OH",5,15,8,43,0.163,0,0,0,1,0,1,1,0,16.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",5,"Sophia Lambros","S",5,0,0,1,0,30,0,2,7,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",3,"Gabby McCaa","MB",5,5,0,9,0.556,1,2,0,6,0,0,1,1,7.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",4,"Anna Murphy","L",5,0,0,1,0,1,0,1,15,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",8,"Clare Naughton","OH",5,17,5,53,0.226,0,1,4,11,0,0,3,0,19.5,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",1,"Grace Penn","S",5,1,0,1,1,30,0,2,7,0,0,0,0,1,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",19,"Jane Petrie","S",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Boston College","2021-2022",2021-08-28,"Boston College","ACC","Northeastern","CAA","Home",20,"Jewel Strawberry","OH",3,0,0,0,0,1,0,0,5,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",14,"Amaka Chukwujekwu","MB",3,10,1,15,0.6,0,0,0,0,0,2,1,0,12.5,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",12,"Izzy Clavenna","OH",2,1,0,3,0.333,2,0,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",11,"Alayna Crabtree","OH",1,2,1,3,0.333,0,1,0,3,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",7,"Mackenzie Fuhrmann","OH",1,0,2,5,-0.4,0,0,0,0,0,0,1,0,0.5,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",18,"Bridget Green","L",2,0,0,0,0,0,1,1,5,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",23,"Julia Haggerty","MB",1,1,0,3,0.333,0,0,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",2,"Silvia Ianeselli","OH",1,3,1,5,0.4,0,0,0,4,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",9,"Katrina Jensen","OH",2,5,2,17,0.176,1,0,0,1,0,1,1,0,6.5,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",5,"Sophia Lambros","S",3,1,0,1,1,11,1,0,3,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",3,"Gabby McCaa","MB",3,3,1,8,0.25,0,0,1,5,0,1,3,0,5.5,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",10,"Peyton Minyard","MB",1,2,0,3,0.667,0,1,1,1,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",4,"Anna Murphy","L",3,0,0,0,0,1,0,0,5,1,0,0,0,0,1
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",8,"Clare Naughton","OH",2,6,2,15,0.267,1,1,0,6,1,0,2,0,8,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",1,"Grace Penn","S",3,0,0,1,0,9,1,1,4,0,0,0,0,1,1
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",19,"Jane Petrie","S",1,0,0,0,0,6,0,0,0,0,0,0,0,0,1
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",6,"Jenna Pollock","MB",1,3,0,5,0.6,0,0,0,0,0,1,0,0,4,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",21,"Nikki Steinheiser","OH",2,1,0,5,0.2,0,1,2,6,1,0,0,0,2,0
"Boston College","2021-2022",2021-09-03,"Boston College","ACC","Holy Cross","Patriot","Home",20,"Jewel Strawberry","OH",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",14,"Amaka Chukwujekwu","MB",4,13,2,15,0.733,0,0,0,1,0,3,1,0,16.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",12,"Izzy Clavenna","OH",4,2,1,14,0.071,0,0,0,0,0,0,1,1,2.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",18,"Bridget Green","L",4,0,1,1,-1,5,0,2,5,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",2,"Silvia Ianeselli","OH",4,11,4,23,0.304,0,0,0,0,1,1,0,0,12,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",9,"Katrina Jensen","OH",4,18,2,28,0.571,0,0,0,2,0,0,1,0,18.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",5,"Sophia Lambros","S",4,0,0,1,0,25,3,3,10,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",3,"Gabby McCaa","MB",4,2,1,7,0.143,0,1,2,3,0,1,2,0,5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",4,"Anna Murphy","L",4,0,0,0,0,3,0,0,15,3,0,0,0,0,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",8,"Clare Naughton","OH",4,14,7,35,0.2,1,2,3,8,2,1,1,0,17.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",1,"Grace Penn","S",4,0,0,0,0,18,0,1,4,0,0,0,0,0,3
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Brown","Ivy League","Away",6,"Jenna Pollock","MB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",14,"Amaka Chukwujekwu","MB",4,5,1,10,0.4,1,0,0,1,0,2,1,0,7.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",12,"Izzy Clavenna","OH",3,6,1,11,0.455,0,0,0,1,0,1,0,0,7,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",11,"Alayna Crabtree","OH",1,2,0,4,0.5,1,0,0,0,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",18,"Bridget Green","L",3,1,0,1,1,0,0,0,8,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",2,"Silvia Ianeselli","OH",4,4,3,11,0.091,0,0,1,6,0,0,1,0,4.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",9,"Katrina Jensen","OH",4,18,9,39,0.231,1,0,0,2,0,0,0,0,18,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",5,"Sophia Lambros","S",4,1,0,2,0.5,25,2,1,8,0,0,0,0,3,2
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",3,"Gabby McCaa","MB",4,2,1,5,0.2,0,0,1,2,0,1,1,1,3.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",4,"Anna Murphy","L",4,0,0,1,0,3,2,0,27,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",8,"Clare Naughton","OH",4,16,3,50,0.26,0,0,0,3,0,0,1,0,16.5,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",1,"Grace Penn","S",4,0,0,1,0,21,0,0,5,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",6,"Jenna Pollock","MB",3,3,0,8,0.375,0,0,1,1,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",21,"Nikki Steinheiser","OH",2,0,0,2,0,0,0,0,1,2,0,0,0,0,0
"Boston College","2021-2022",2021-09-04,"Boston College","ACC","Bryant","NEC","Away",20,"Jewel Strawberry","OH",3,0,0,0,0,2,0,0,5,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",14,"Amaka Chukwujekwu","MB",4,12,3,18,0.5,0,0,0,0,0,0,4,0,14,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",12,"Izzy Clavenna","OH",4,7,4,21,0.143,0,0,0,2,0,0,5,1,9.5,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",11,"Alayna Crabtree","OH",2,3,1,5,0.4,1,0,0,1,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",18,"Bridget Green","L",3,0,0,0,0,1,0,1,2,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",2,"Silvia Ianeselli","OH",4,1,1,21,0,0,0,0,1,0,0,2,2,2,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",9,"Katrina Jensen","OH",4,6,4,20,0.1,0,0,0,1,0,1,2,0,8,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",5,"Sophia Lambros","S",4,0,0,1,0,24,2,0,5,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",3,"Gabby McCaa","MB",4,4,2,8,0.25,0,0,1,2,0,0,6,0,7,1
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",4,"Anna Murphy","L",4,0,0,0,0,1,0,0,21,1,0,0,0,0,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",8,"Clare Naughton","OH",4,20,5,48,0.313,0,1,2,14,0,0,1,0,21.5,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",1,"Grace Penn","S",3,0,0,2,0,5,0,0,1,0,0,0,0,0,1
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",19,"Jane Petrie","S",4,0,0,0,0,18,0,0,7,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",6,"Jenna Pollock","MB",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-07,"Boston College","ACC","Northeastern","CAA","Away",20,"Jewel Strawberry","OH",2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",14,"Amaka Chukwujekwu","MB",4,5,1,12,0.333,1,0,0,0,0,1,3,0,7.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",12,"Izzy Clavenna","OH",4,12,0,26,0.462,0,0,0,2,0,0,2,0,13,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",7,"Mackenzie Fuhrmann","OH",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",18,"Bridget Green","L",2,0,0,0,0,0,2,2,4,1,0,0,0,2,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",2,"Silvia Ianeselli","OH",4,6,1,23,0.217,0,1,0,1,1,1,1,1,8.5,1
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",9,"Katrina Jensen","OH",4,12,6,26,0.231,0,0,0,2,0,0,1,0,12.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",5,"Sophia Lambros","S",4,0,0,0,0,22,0,0,8,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",3,"Gabby McCaa","MB",4,4,2,6,0.333,0,0,1,1,0,0,1,1,4.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",4,"Anna Murphy","L",4,1,0,1,1,3,0,0,23,2,0,0,0,1,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",8,"Clare Naughton","OH",4,16,4,40,0.3,0,1,0,16,0,0,0,0,17,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",1,"Grace Penn","S",4,0,0,0,0,21,0,2,7,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",19,"Jane Petrie","S",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",6,"Jenna Pollock","MB",1,1,1,2,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","Army West Point","Patriot","Away",20,"Jewel Strawberry","OH",2,0,1,1,-1,1,0,0,6,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",14,"Amaka Chukwujekwu","MB",5,6,3,13,0.231,0,0,0,1,0,0,5,0,8.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",12,"Izzy Clavenna","OH",5,16,3,37,0.351,0,0,0,3,0,1,5,0,19.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",11,"Alayna Crabtree","OH",2,3,1,5,0.4,0,0,0,3,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",18,"Bridget Green","L",4,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",2,"Silvia Ianeselli","OH",4,1,4,16,-0.188,0,2,0,3,1,0,0,0,3,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",9,"Katrina Jensen","OH",5,17,4,37,0.351,1,0,0,3,0,1,1,0,18.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",5,"Sophia Lambros","S",5,0,0,0,0,23,1,1,6,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",3,"Gabby McCaa","MB",5,1,1,6,0,1,4,2,2,0,0,2,2,6,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",4,"Anna Murphy","L",5,0,0,0,0,1,0,1,11,3,0,0,0,0,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",8,"Clare Naughton","OH",5,12,3,33,0.273,0,0,0,10,3,0,1,1,12.5,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",1,"Grace Penn","S",5,1,0,3,0.333,25,1,1,11,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",21,"Nikki Steinheiser","OH",2,3,2,7,0.143,0,0,0,2,0,0,0,1,3,0
"Boston College","2021-2022",2021-09-10,"Boston College","ACC","St. John's (NY)","Big East","Away",20,"Jewel Strawberry","OH",3,0,0,0,0,3,0,0,1,1,0,0,0,0,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",14,"Amaka Chukwujekwu","MB",4,13,2,21,0.524,0,0,0,0,0,0,1,0,13.5,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",12,"Izzy Clavenna","OH",4,13,2,23,0.478,1,0,0,1,0,0,2,0,14,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",11,"Alayna Crabtree","OH",4,6,4,26,0.077,0,1,0,11,2,1,0,0,8,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",18,"Bridget Green","L",4,0,0,0,0,2,2,1,5,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",9,"Katrina Jensen","OH",1,1,3,7,-0.286,0,0,0,1,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",5,"Sophia Lambros","S",1,0,0,0,0,7,1,0,1,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",3,"Gabby McCaa","MB",4,7,2,13,0.385,0,3,3,1,0,1,7,1,14.5,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",10,"Peyton Minyard","MB",2,3,0,6,0.5,0,0,0,0,0,0,0,0,3,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",4,"Anna Murphy","L",4,0,0,0,0,1,1,0,20,2,0,0,0,1,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",8,"Clare Naughton","OH",4,17,7,47,0.213,0,2,2,10,0,0,0,0,19,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",1,"Grace Penn","S",4,0,0,2,0,31,0,2,3,0,0,0,0,0,1
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",19,"Jane Petrie","S",4,1,0,3,0.333,24,2,0,3,0,0,0,0,3,1
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",6,"Jenna Pollock","MB",3,7,0,18,0.389,0,0,0,3,0,0,6,1,10,0
"Boston College","2021-2022",2021-09-11,"Boston College","ACC","Fordham","Atlantic 10","Home",20,"Jewel Strawberry","OH",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",14,"Amaka Chukwujekwu","MB",3,3,0,8,0.375,1,0,0,0,0,1,2,0,5,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",12,"Izzy Clavenna","RS",2,2,0,2,1,0,0,0,0,0,0,0,0,2,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",11,"Alayna Crabtree","OH",3,7,2,15,0.333,1,0,2,8,2,0,0,0,7,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",7,"Mackenzie Fuhrmann","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",18,"Bridget Green","L",3,0,0,0,0,4,3,1,15,1,0,0,0,3,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",9,"Katrina Jensen","OH",1,1,1,3,0,0,0,0,0,0,0,1,0,1.5,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",5,"Sophia Lambros","S",1,0,0,0,0,3,0,1,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",3,"Gabby McCaa","MB",3,4,1,6,0.5,0,1,0,4,1,2,3,2,8.5,1
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",10,"Peyton Minyard","MB",1,1,0,3,0.333,0,0,0,2,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",8,"Clare Naughton","OH",3,14,4,29,0.345,2,0,0,5,0,0,1,0,14.5,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",1,"Grace Penn","S",2,0,0,0,0,5,0,1,1,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",19,"Jane Petrie","S",3,0,0,0,0,25,1,0,6,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",6,"Jenna Pollock","MB",3,11,3,24,0.333,0,0,0,2,0,0,3,0,12.5,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",21,"Nikki Steinheiser","OH",1,0,2,3,-0.667,0,1,0,0,0,0,0,0,1,0
"Boston College","2021-2022",2021-09-12,"Boston College","ACC","Rhode Island","Atlantic 10","Away",20,"Jewel Strawberry","OH",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-17,"Boston College","ACC","Dayton","Atlantic 10","Home",14,"Amaka Chukwujekwu","MB",4,2,2,12,0,0,0,0,0,0,0,7,0,5.5,0
"Boston College","2021-2022",2021-09-17,"Boston College","ACC","Dayton","Atlantic 10","Home",12,"Izzy Clavenna","OH",4,6,3,17,0.176,0,0,0,1,0,0,2,0,7,0
"Boston College","2021-2022",2021-09-17,"Boston College","ACC","Dayton","Atlantic 10","Home",11,"Alayna Crabtree","OH",3,8,6,22,0.091,0,0,0,3,1,1,1,0,9.5,0
"Boston College","2021-2022",2021-09-17,"Boston College","ACC","Dayton","Atlantic 10","Home",18,"Bridget Green","L",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Boston College","2021-2022",2021-09-17,"Boston College","ACC","Dayton","Atlantic 10","Home",9,"Katrina Jensen","OH",3,4,3,12,0.083,0,0,0,1,0,0,1,0,4.5,0
